,maker,specific_origin,reference,review_date,cocoa_percent,maker_location,rating,bean_type,broad_origin,maker_location_latitude,maker_location_longitude,broad_origin_latitude,broad_origin_longitude
65,Molucca,Peru,1618,2015,70.0,United States,3.25,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
66,Nathan Miller,Peru,1403,2014,72.0,United States,2.25,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
67,Nibble,Tumbes,1526,2015,72.0,United States,3.0,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
68,Night Owl,Peru,1022,2013,75.0,United States,2.75,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
69,Noble Bean aka Jerjobo,Maranon Canyon,1299,2014,75.0,United States,3.25,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
70,Patric,"Piura,Choc Garage Exclusive",1034,2013,67.0,United States,4.0,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
71,Pomm (aka Dead Dog),Peru,829,2012,82.0,United States,2.75,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
72,Potomac,"San Martin,Amazonian Highlands",789,2011,70.0,United States,2.75,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
73,Ranger,"San Martin,Batch 2",1558,2015,70.0,United States,2.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
74,Ranger,"Chulucanas,Batch 1",1562,2015,80.0,United States,3.25,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
75,Ranger,"Tumbes,Batch 2",1562,2015,73.0,United States,3.5,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
76,Ritual,"Maranon,Cajamarca",1181,2013,75.0,United States,3.0,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
77,Rogue,Piura,565,2010,75.0,United States,3.75,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
78,Scharffen Berger,San Juan de Cheni,959,2012,78.0,United States,4.0,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
79,Sibu Sura,Peru,911,2012,70.0,United States,2.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
80,Solstice,San Martin,1161,2013,70.0,United States,3.25,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
81,Spencer,Peru,1932,2017,70.0,United States,2.75,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
82,Tabal,Peru,1105,2013,70.0,United States,3.0,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
83,TCHO,"Fruity,beta",280,2008,70.0,United States,2.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
84,TCHO,"Nutty,beta",284,2008,70.0,United States,2.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
85,Tejas,Capistrano,821,2012,70.0,United States,2.0,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
86,Terroir,Peru,1478,2015,70.0,United States,2.75,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
87,Two Ravens,Peru,1740,2016,60.0,United States,3.0,Criollo,Peru,37.09024,-95.712891,-9.189967,-75.015152
88,Vintage Plantations,San Martin,1205,2014,75.0,United States,3.0,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
89,Violet Sky,Peru,1458,2015,77.0,United States,3.25,"Criollo, Trinitario",Peru,37.09024,-95.712891,-9.189967,-75.015152
90,Vivra,Peru,1720,2016,70.0,United States,2.5,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
91,Woodblock,"Maranon,Cajamarca",1243,2014,70.0,United States,3.0,Forastero (Nacional),Peru,37.09024,-95.712891,-9.189967,-75.015152
92,Zak's,"Peru,Batch 1",1578,2015,70.0,United States,3.25,Blend,Peru,37.09024,-95.712891,-9.189967,-75.015152
93,Pacari,Piura,863,2012,70.0,Ecuador,4.0,Blend,Peru,-1.831239,-78.183406,-9.189967,-75.015152
94,Original Beans (Felchlin),"Piura,Apotequil,""Porcelana"" 72hr c",341,2009,75.0,Switzerland,3.0,Criollo,Peru,46.818188,8.227512,-9.189967,-75.015152
95,Chocolate Makers,"Peru,Awagum bar",1530,2015,80.0,Netherlands,3.75,Criollo,Peru,52.132633,5.291266,-9.189967,-75.015152
96,Amazona,"LamasdelChanka,San Martin,Oro Verde coop",1145,2013,72.0,Peru,3.25,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
97,Amazona,"Bellavista Gran Pajeten,San Martin",1145,2013,73.0,Peru,3.5,Trinitario,Peru,-9.189967,-75.015152,-9.189967,-75.015152
98,Bakau,"Bambamarca,2015",1454,2015,70.0,Peru,2.75,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
99,Bakau,"Huallabamba,2015",1454,2015,70.0,Peru,3.5,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
100,Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70.0,Peru,3.25,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
101,La Oroquidea,Peruvian Amazon,721,2011,72.0,Peru,2.5,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
102,Machu Picchu Trading Co.,Peru,721,2011,70.0,Peru,1.5,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
103,Machu Picchu Trading Co.,Peru,552,2010,55.0,Peru,2.25,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
104,Marana,Piura,1872,2016,70.0,Peru,3.0,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
105,Marana,Cusco,1884,2016,70.0,Peru,2.75,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
106,Marana,San Martin,1884,2016,70.0,Peru,3.0,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
107,Orquidea,Peru,859,2012,65.0,Peru,3.0,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
108,Orquidea,Peru,859,2012,72.0,Peru,3.0,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
109,Pascha,Peru,1137,2013,55.0,Peru,2.5,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
110,Pascha,Peru,1137,2013,70.0,Peru,2.75,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
111,Shattell,Tingo Maria,1884,2016,70.0,Peru,3.25,Blend,Peru,-9.189967,-75.015152,-9.189967,-75.015152
112,Shattell,Porcelana,757,2011,75.0,Peru,3.5,Criollo,Peru,-9.189967,-75.015152,-9.189967,-75.015152
113,Ambrosia,Peru,1498,2015,68.0,Canada,3.5,Blend,Peru,56.130366,-106.346771,-9.189967,-75.015152
114,Christopher Morel (Felchlin),"Maranon Canyon,Fortunato No 4",666,2011,68.0,Canada,3.75,Forastero (Nacional),Peru,56.130366,-106.346771,-9.189967,-75.015152
115,East Van Roasters,Peru,1343,2014,70.0,Canada,3.25,Blend,Peru,56.130366,-106.346771,-9.189967,-75.015152
116,Soma,Maranon Canyon,1259,2014,70.0,Canada,3.75,Forastero (Nacional),Peru,56.130366,-106.346771,-9.189967,-75.015152
117,Soma,"Apurimac,El Quinacho Co,op",1073,2013,70.0,Canada,2.75,Criollo,Peru,56.130366,-106.346771,-9.189967,-75.015152
118,Soma,Peruvian,676,2011,64.0,Canada,4.0,Blend,Peru,56.130366,-106.346771,-9.189967,-75.015152
119,Amedei,"Piura,Blanco de Criollo",979,2012,70.0,Italy,3.75,Blend,Peru,41.87194,12.56738,-9.189967,-75.015152
120,Domori,Apurimac,87,2006,70.0,Italy,3.25,Trinitario,Peru,41.87194,12.56738,-9.189967,-75.015152
121,Artisan du Chocolat,Peru,363,2009,75.0,United Kingdom,3.0,Criollo,Peru,55.378051,-3.435973,-9.189967,-75.015152
122,Chocolarder,Peru,1482,2015,65.0,United Kingdom,2.5,Criollo,Peru,55.378051,-3.435973,-9.189967,-75.015152
123,Chocolarder,Peru + nibs,1482,2015,65.0,United Kingdom,2.75,Criollo,Peru,55.378051,-3.435973,-9.189967,-75.015152
124,"Chocolate Tree, The",Maranon,1582,2015,69.0,United Kingdom,3.75,Forastero (Nacional),Peru,55.378051,-3.435973,-9.189967,-75.015152
125,"Chocolate Tree, The",Peru,1121,2013,70.0,United Kingdom,3.75,Forastero (Nacional),Peru,55.378051,-3.435973,-9.189967,-75.015152
126,"Chocolate Tree, The",Peru,919,2012,68.0,United Kingdom,2.75,Criollo,Peru,55.378051,-3.435973,-9.189967,-75.015152
127,Duffy's,Star of Peru,523,2010,70.0,United Kingdom,3.75,Blend,Peru,55.378051,-3.435973,-9.189967,-75.015152
128,Forever Cacao,Rio Eni,1267,2014,72.0,United Kingdom,2.75,Criollo,Peru,55.378051,-3.435973,-9.189967,-75.015152
129,Hotel Chocolat (Coppeneur),"Chanchamayo,Pichanadi,2012,60hr c",1109,2013,100.0,United Kingdom,2.75,Blend,Peru,55.378051,-3.435973,-9.189967,-75.015152
130,iQ Chocolate,"Satipo region,white label",943,2012,72.0,United Kingdom,2.75,Criollo,Peru,55.378051,-3.435973,-9.189967,-75.015152
131,iQ Chocolate,black label,943,2012,72.0,United Kingdom,3.0,Blend,Peru,55.378051,-3.435973,-9.189967,-75.015152
132,Ocelot,Piura,1558,2015,75.0,United Kingdom,4.0,Criollo,Peru,55.378051,-3.435973,-9.189967,-75.015152
133,Solkiki,"Maranon,Fortunato No 4",1840,2016,68.0,United Kingdom,2.75,Forastero (Nacional),Peru,55.378051,-3.435973,-9.189967,-75.015152
134,Willie's Cacao,San Martin,457,2009,70.0,United Kingdom,3.0,Blend,Peru,55.378051,-3.435973,-9.189967,-75.015152
135,"Smooth Chocolator, The","Maranon,batch 2",1666,2015,67.0,Australia,3.0,Forastero (Nacional),Peru,-25.274398,133.775136,-9.189967,-75.015152
136,Belcolade,Peru,586,2010,64.0,Belgium,2.75,Blend,Peru,50.503887,4.469936,-9.189967,-75.015152
137,Frederic Blondeel,Peru Brutus,1538,2015,75.0,Belgium,3.5,Blend,Peru,50.503887,4.469936,-9.189967,-75.015152
138,Pierre Marcolini,"Peru,Las Pampas P",531,2010,85.0,Belgium,3.0,Criollo,Peru,50.503887,4.469936,-9.189967,-75.015152
139,Coppeneur,"Porcelana,Apotequil",341,2009,72.0,Germany,3.0,Criollo,Peru,51.165691,10.451526,-9.189967,-75.015152
140,Coppeneur,"Porcelana,Apotequil",445,2009,62.0,Germany,3.25,Criollo,Peru,51.165691,10.451526,-9.189967,-75.015152
141,Heilemann,Peru,1876,2016,64.0,Germany,2.75,Blend,Peru,51.165691,10.451526,-9.189967,-75.015152
142,Kakao,Peru,837,2012,64.0,Germany,2.5,Blend,Peru,51.165691,10.451526,-9.189967,-75.015152
143,Cacao Store,Peru,1684,2015,70.0,Japan,3.25,Blend,Peru,36.204824,138.252924,-9.189967,-75.015152
144,Emily's,Peru,1454,2015,78.0,Japan,3.5,Criollo,Peru,36.204824,138.252924,-9.189967,-75.015152
145,La Chocolaterie Nanairo,"Lumas,2015 Harvest,Batch 6,brown sugar",1892,2016,70.0,Japan,2.25,"Trinitario, Criollo",Peru,36.204824,138.252924,-9.189967,-75.015152
146,La Chocolaterie Nanairo,"Lumas,2015 Harvest,Batch 7",1892,2016,70.0,Japan,2.5,"Trinitario, Criollo",Peru,36.204824,138.252924,-9.189967,-75.015152
147,La Chocolaterie Nanairo,"Tumbes,2013 Harvest,Batch 8",1892,2016,70.0,Japan,3.0,Criollo,Peru,36.204824,138.252924,-9.189967,-75.015152
148,Theobroma,"Piura Select,Cacao Blanc",1684,2015,70.0,Japan,3.25,Blend,Peru,36.204824,138.252924,-9.189967,-75.015152
149,Hogarth,Gran Blanco,1712,2016,66.0,New Zealand,3.5,Criollo,Peru,-40.900557,174.885971,-9.189967,-75.015152
150,Wellington Chocolate Factory,"Piura Blanco,Norandino",1756,2016,70.0,New Zealand,3.5,Blend,Peru,-40.900557,174.885971,-9.189967,-75.015152
151,Summerbird,Peru,1800,2016,61.0,Denmark,2.5,"Criollo, Trinitario",Peru,56.26392,9.501785,-9.189967,-75.015152
152,Summerbird,Peru,1800,2016,71.0,Denmark,3.0,"Criollo, Trinitario",Peru,56.26392,9.501785,-9.189967,-75.015152
153,Holy Cacao,Maranon,1872,2016,70.0,Israel,2.75,Blend,Peru,31.046051,34.851612,-9.189967,-75.015152
154,Holy Cacao,San Martin,431,2009,70.0,Israel,3.5,Blend,Peru,31.046051,34.851612,-9.189967,-75.015152
155,The Barn,Peru,1614,2015,70.0,Sweden,3.0,Blend,Peru,60.128161,18.643501,-9.189967,-75.015152
156,Manufaktura Czekolady,Peru,1848,2016,70.0,Poland,3.5,Blend,Peru,51.919438,19.145136,-9.189967,-75.015152
157,Zotter,"Satipo Pangoa region,16hr conche",875,2012,70.0,Austria,3.0,Criollo (Amarru),Peru,47.516231,14.550072,-9.189967,-75.015152
158,Zotter,"Satipo Pangoa region,20hr conche",875,2012,70.0,Austria,3.5,Criollo (Amarru),Peru,47.516231,14.550072,-9.189967,-75.015152
159,Zotter,Peru,647,2011,70.0,Austria,3.75,Blend,Peru,47.516231,14.550072,-9.189967,-75.015152
160,Naive,"Maranon Canyon,Fortunato No 4",1133,2013,78.0,Lithuania,3.75,Forastero (Nacional),Peru,55.169438,23.881275,-9.189967,-75.015152
161,Obolo,Pangoa,1638,2015,70.0,Chile,3.75,Criollo,Peru,-35.675147,-71.542969,-9.189967,-75.015152
162,Obolo,"Pangoa,w,nibs",1638,2015,70.0,Chile,3.75,Criollo,Peru,-35.675147,-71.542969,-9.189967,-75.015152
163,Szanto Tibor,"Ayacucho,""El Guinacho""",939,2012,70.0,Hungary,3.75,Blend,Peru,47.162494,19.503304,-9.189967,-75.015152
164,Wilkie's Organic,Amazonas,1169,2013,75.0,Ireland,2.5,Criollo,Peru,53.41291,-8.24389,-9.189967,-75.015152
165,Wilkie's Organic,Amazonas,1169,2013,89.0,Ireland,2.75,Criollo,Peru,53.41291,-8.24389,-9.189967,-75.015152
166,Wilkie's Organic,Tumbes,1169,2013,75.0,Ireland,3.25,Criollo,Peru,53.41291,-8.24389,-9.189967,-75.015152
167,Wilkie's Organic,"Amazonas w,nibs",1173,2013,75.0,Ireland,2.75,Criollo,Peru,53.41291,-8.24389,-9.189967,-75.015152
168,A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela,46.227638,2.213749,6.42375,-66.58973
169,A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela,46.227638,2.213749,6.42375,-66.58973
170,A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela,46.227638,2.213749,6.42375,-66.58973
171,A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela,46.227638,2.213749,6.42375,-66.58973
172,Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,Trinitario,Venezuela,46.227638,2.213749,6.42375,-66.58973
173,Ara,Trincheras,1379,2014,75.0,France,3.0,Blend,Venezuela,46.227638,2.213749,6.42375,-66.58973
174,Bonnat,"Porcelana,Venezuela",199,2008,75.0,France,4.0,Criollo (Porcelana),Venezuela,46.227638,2.213749,6.42375,-66.58973
175,Bonnat,"Ocumare,Puerto Cabello",32,2006,75.0,France,4.0,Blend,Venezuela,46.227638,2.213749,6.42375,-66.58973
176,Bonnat,"Maracaibo,El Rosario",48,2006,75.0,France,4.0,Criollo,Venezuela,46.227638,2.213749,6.42375,-66.58973
177,Bonnat,Chuao,81,2006,75.0,France,4.0,Trinitario,Venezuela,46.227638,2.213749,6.42375,-66.58973
178,Cacao Barry,Venezuela,141,2007,72.0,France,2.0,Blend,Venezuela,46.227638,2.213749,6.42375,-66.58973
179,Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,66.0,France,3.75,Blend,Venezuela,46.227638,2.213749,6.42375,-66.58973
180,La Maison du Chocolat (Valrhona),"Porcelana,Pariguan",346,2009,69.0,France,3.5,Criollo (Porcelana),Venezuela,46.227638,2.213749,6.42375,-66.58973
181,Michel Cluizel,"Carenero Superior,Concepcion",117,2007,66.0,France,3.5,Trinitario,Venezuela,46.227638,2.213749,6.42375,-66.58973
182,Pralus,"Porcelana,S of Lake Maracaibo",717,2011,75.0,France,3.25,Criollo (Porcelana),Venezuela,46.227638,2.213749,6.42375,-66.58973
183,Pralus,Chuao,486,2010,75.0,France,3.5,Trinitario,Venezuela,46.227638,2.213749,6.42375,-66.58973
184,Pralus,Cuyagua,451,2009,75.0,France,2.0,Blend,Venezuela,46.227638,2.213749,6.42375,-66.58973
185,Pralus,"Barlovento,Venezuela",32,2006,75.0,France,3.5,Trinitario,Venezuela,46.227638,2.213749,6.42375,-66.58973
186,Valrhona,"Otucan,Grand Cru",931,2012,69.0,France,4.0,Blend,Venezuela,46.227638,2.213749,6.42375,-66.58973
187,Valrhona,"Porcelana,Pedegral",757,2011,64.0,France,4.0,Criollo,Venezuela,46.227638,2.213749,6.42375,-66.58973
188,Valrhona,Chuao 2002 P,129,2007,65.0,France,3.75,Trinitario,Venezuela,46.227638,2.213749,6.42375,-66.58973
189,Valrhona,"Porcelana,Maracaibo,Palmira P 2006",162,2007,64.0,France,3.25,Criollo (Porcelana),Venezuela,46.227638,2.213749,6.42375,-66.58973
190,Valrhona,"Porcelana,Maracaibo,Palmira P 2005",75,2006,64.0,France,3.0,Criollo (Porcelana),Venezuela,46.227638,2.213749,6.42375,-66.58973
191,Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,United States,2.5,Blend,Venezuela,37.09024,-95.712891,6.42375,-66.58973
192,Amano,Chuao,544,2010,70.0,United States,3.0,Trinitario,Venezuela,37.09024,-95.712891,6.42375,-66.58973
193,Amano,Montanya,363,2009,70.0,United States,3.0,Blend,Venezuela,37.09024,-95.712891,6.42375,-66.58973
194,Amano,Cuyagua,147,2007,70.0,United States,3.0,Blend,Venezuela,37.09024,-95.712891,6.42375,-66.58973
195,Amano,Ocumare,175,2007,70.0,United States,3.75,Criollo,Venezuela,37.09024,-95.712891,6.42375,-66.58973
196,Bittersweet Origins,"Ocumare,prototype",565,2010,78.0,United States,3.0,Criollo,Venezuela,37.09024,-95.712891,6.42375,-66.58973
197,Black Mountain,Carenero Superior,256,2008,70.0,United States,2.75,Trinitario,Venezuela,37.09024,-95.712891,6.42375,-66.58973
198,Brasstown aka It's Chocolate,"Guasare,Zulia Prov",1868,2016,70.0,United States,3.5,Criollo,Venezuela,37.09024,-95.712891,6.42375,-66.58973
199,Brasstown aka It's Chocolate,Chuao,1355,2014,70.0,United States,4.0,Trinitario,Venezuela,37.09024,-95.712891,6.42375,-66.58973
200,Brasstown aka It's Chocolate,"Chuao,Mantuano blend",1129,2013,85.0,United States,3.5,Trinitario,Venezuela,37.09024,-95.712891,6.42375,-66.58973
201,Cacao Atlanta,Patanemo,600,2010,75.0,United States,2.25,Blend,Venezuela,37.09024,-95.712891,6.42375,-66.58973
202,Cao,Porcelana,1804,2016,75.0,United States,2.5,Criollo,Venezuela,37.09024,-95.712891,6.42375,-66.58973
